"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-08",,,,,,,,,"0.41",",,0,1600","2.0",",,0,","46",",,0,","39",",,0","32",",,0","35",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-09",,,,,,,,,"0.57",",,0,1600","7.0",",,0,","50",",,0,","37",",,0","28",",,0","37",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-10",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","47",",,0,","45",",,0","24",",,0","44",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-11",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","42",",,0,","49",",,0","30",",,0","48",",I,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-12",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","41",",,0,","43",",I,0","30",",,0","40",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-13",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","40",",,0,","49",",,0","34",",,0","43",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-14",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","36",",,0,","55",",,0","33",",,0","54",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-15",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","33",",,0,","57",",,0","39",",,0","57",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-16",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","30",",,0,","60",",,0","39",",,0","56",",I,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-17",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","29",",,0,","54",",I,0","33",",,0","34",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-18",,,,,,,,,"0.04",",,0,1600","0.0","T,,0,","28",",,0,","44",",,0","30",",,0","39",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-04-19",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","24",",,0,","48",",,0","30",",,0","48",",,0,1600",,,,,,,,,,,,
